"MonthId","NumTweets_Lag_0_all","NumDistinctTweets_Lag_0_all","NumDistinctUsers_Lag_0_all","NumPopularTweets_Lag_0_all","NumVerifiedTweets_Lag_0_all","NumTweets_Lag_1_all","NumDistinctTweets_Lag_1_all","NumDistinctUsers_Lag_1_all","NumPopularTweets_Lag_1_all","NumVerifiedTweets_Lag_1_all","NumTweets_Lag_2_all","NumDistinctTweets_Lag_2_all","NumDistinctUsers_Lag_2_all","NumPopularTweets_Lag_2_all","NumVerifiedTweets_Lag_2_all","NumTweets_Lag_3_all","NumDistinctTweets_Lag_3_all","NumDistinctUsers_Lag_3_all","NumPopularTweets_Lag_3_all","NumVerifiedTweets_Lag_3_all","NumTweets_Lag_0_allold","NumDistinctTweets_Lag_0_allold","NumDistinctUsers_Lag_0_allold","NumPopularTweets_Lag_0_allold","NumVerifiedTweets_Lag_0_allold","NumTweets_Lag_1_allold","NumDistinctTweets_Lag_1_allold","NumDistinctUsers_Lag_1_allold","NumPopularTweets_Lag_1_allold","NumVerifiedTweets_Lag_1_allold","NumTweets_Lag_2_allold","NumDistinctTweets_Lag_2_allold","NumDistinctUsers_Lag_2_allold","NumPopularTweets_Lag_2_allold","NumVerifiedTweets_Lag_2_allold","NumTweets_Lag_3_allold","NumDistinctTweets_Lag_3_allold","NumDistinctUsers_Lag_3_allold","NumPopularTweets_Lag_3_allold","NumVerifiedTweets_Lag_3_allold","NumTweets_Lag_0_opening","NumDistinctTweets_Lag_0_opening","NumDistinctUsers_Lag_0_opening","NumPopularTweets_Lag_0_opening","NumVerifiedTweets_Lag_0_opening","NumTweets_Lag_1_opening","NumDistinctTweets_Lag_1_opening","NumDistinctUsers_Lag_1_opening","NumPopularTweets_Lag_1_opening","NumVerifiedTweets_Lag_1_opening","NumTweets_Lag_2_opening","NumDistinctTweets_Lag_2_opening","NumDistinctUsers_Lag_2_opening","NumPopularTweets_Lag_2_opening","NumVerifiedTweets_Lag_2_opening","NumTweets_Lag_3_opening","NumDistinctTweets_Lag_3_opening","NumDistinctUsers_Lag_3_opening","NumPopularTweets_Lag_3_opening","NumVerifiedTweets_Lag_3_opening","NumTweets_Lag_0_posting","NumDistinctTweets_Lag_0_posting","NumDistinctUsers_Lag_0_posting","NumPopularTweets_Lag_0_posting","NumVerifiedTweets_Lag_0_posting","NumTweets_Lag_1_posting","NumDistinctTweets_Lag_1_posting","NumDistinctUsers_Lag_1_posting","NumPopularTweets_Lag_1_posting","NumVerifiedTweets_Lag_1_posting","NumTweets_Lag_2_posting","NumDistinctTweets_Lag_2_posting","NumDistinctUsers_Lag_2_posting","NumPopularTweets_Lag_2_posting","NumVerifiedTweets_Lag_2_posting","NumTweets_Lag_3_posting","NumDistinctTweets_Lag_3_posting","NumDistinctUsers_Lag_3_posting","NumPopularTweets_Lag_3_posting","NumVerifiedTweets_Lag_3_posting","NumTweets_Lag_0_opportunity","NumDistinctTweets_Lag_0_opportunity","NumDistinctUsers_Lag_0_opportunity","NumPopularTweets_Lag_0_opportunity","NumVerifiedTweets_Lag_0_opportunity","NumTweets_Lag_1_opportunity","NumDistinctTweets_Lag_1_opportunity","NumDistinctUsers_Lag_1_opportunity","NumPopularTweets_Lag_1_opportunity","NumVerifiedTweets_Lag_1_opportunity","NumTweets_Lag_2_opportunity","NumDistinctTweets_Lag_2_opportunity","NumDistinctUsers_Lag_2_opportunity","NumPopularTweets_Lag_2_opportunity","NumVerifiedTweets_Lag_2_opportunity","NumTweets_Lag_3_opportunity","NumDistinctTweets_Lag_3_opportunity","NumDistinctUsers_Lag_3_opportunity","NumPopularTweets_Lag_3_opportunity","NumVerifiedTweets_Lag_3_opportunity","NumTweets_Lag_0_hiring","NumDistinctTweets_Lag_0_hiring","NumDistinctUsers_Lag_0_hiring","NumPopularTweets_Lag_0_hiring","NumVerifiedTweets_Lag_0_hiring","NumTweets_Lag_1_hiring","NumDistinctTweets_Lag_1_hiring","NumDistinctUsers_Lag_1_hiring","NumPopularTweets_Lag_1_hiring","NumVerifiedTweets_Lag_1_hiring","NumTweets_Lag_2_hiring","NumDistinctTweets_Lag_2_hiring","NumDistinctUsers_Lag_2_hiring","NumPopularTweets_Lag_2_hiring","NumVerifiedTweets_Lag_2_hiring","NumTweets_Lag_3_hiring","NumDistinctTweets_Lag_3_hiring","NumDistinctUsers_Lag_3_hiring","NumPopularTweets_Lag_3_hiring","NumVerifiedTweets_Lag_3_hiring","NumTweets_Lag_0_hashtags","NumDistinctTweets_Lag_0_hashtags","NumDistinctUsers_Lag_0_hashtags","NumPopularTweets_Lag_0_hashtags","NumVerifiedTweets_Lag_0_hashtags","NumTweets_Lag_1_hashtags","NumDistinctTweets_Lag_1_hashtags","NumDistinctUsers_Lag_1_hashtags","NumPopularTweets_Lag_1_hashtags","NumVerifiedTweets_Lag_1_hashtags","NumTweets_Lag_2_hashtags","NumDistinctTweets_Lag_2_hashtags","NumDistinctUsers_Lag_2_hashtags","NumPopularTweets_Lag_2_hashtags","NumVerifiedTweets_Lag_2_hashtags","NumTweets_Lag_3_hashtags","NumDistinctTweets_Lag_3_hashtags","NumDistinctUsers_Lag_3_hashtags","NumPopularTweets_Lag_3_hashtags","NumVerifiedTweets_Lag_3_hashtags"
201101,809276,800986,333353,6033,951,494012,489083,203961,3649,416,129107,128132,49964,800,57,0,0,0,0,0,38646,36438,26301,1200,195,22962,21571,15426,735,144,5990,5752,3878,158,3,0,0,0,0,0,11722,11074,7689,373,69,7513,7106,4813,236,51,2119,2027,1278,70,0,0,0,0,0,0,12026,11800,9101,179,18,7252,7123,5530,109,0,2003,1993,1583,10,0,0,0,0,0,0,7511,7249,4522,176,3,4715,4564,2817,103,3,1379,1344,750,21,3,0,0,0,0,0,7747,6668,5317,478,105,3687,2979,2476,290,90,570,465,342,60,0,0,0,0,0,0,781439,774931,313024,5124,756,477534,473747,192158,3083,272,124857,124056,46994,688,54,0,0,0,0,0
201102,1180243,1165271,475265,8542,4887,1150302,1136575,462367,8569,3547,1053201,1041452,436618,7879,2251,743014,735465,306897,5574,718,54685,50933,36114,1808,384,53920,50245,36281,1779,327,51406,48127,34416,1623,303,34826,32813,23747,1111,168,16254,15259,10849,555,82,15483,14535,10540,542,82,14800,13947,9910,490,79,10659,10118,7007,343,51,17953,17501,12608,245,48,16905,16454,12359,275,24,15804,15461,11840,243,18,10991,10775,8315,170,18,10431,9958,6663,296,20,10197,9762,6436,275,12,9655,9259,5963,265,12,6905,6667,4152,160,3,10389,8547,6400,717,238,11672,9824,7306,693,209,11541,9847,7098,631,194,6586,5562,4571,443,96,1142403,1130282,448719,7245,4594,1112647,1101799,435263,7269,3292,1016239,1007140,410318,6680,1972,718098,712162,288631,4735,550
201103,274767,269045,123324,2274,2207,646432,636382,276981,4858,3431,1064253,1049659,433519,7779,4839,1200488,1184836,485066,8798,5397,12098,11224,7813,401,39,28737,26896,18764,936,120,46675,43532,30785,1596,288,55363,51502,36458,1848,396,3522,3298,2362,126,16,8672,8192,5722,271,16,14758,13881,9711,509,70,16637,15584,11058,568,82,4804,4748,2978,34,0,10763,10593,6896,89,42,16522,16161,10927,195,48,18159,17707,12682,246,48,2324,2188,1549,68,12,5650,5390,3692,162,20,9314,8916,5995,240,23,10605,10107,6783,306,32,1516,1057,1004,174,11,3838,2902,2673,415,46,6369,4853,4493,656,151,10291,8423,6329,733,238,267249,262195,117999,1991,2204,627464,618764,263714,4194,3366,1033344,1021060,411528,6631,4654,1162219,1149488,458410,7477,5104
201104,850841,837092,364846,6381,4538,548453,536804,231019,4724,4276,265080,259172,113549,2310,2045,274767,269045,123324,2274,2207,36533,33445,24191,1202,616,24212,21652,15512,901,530,11544,10308,7338,434,351,12098,11224,7813,401,39,10730,9812,7204,382,280,6807,6045,4393,268,260,3224,2846,2021,124,149,3522,3298,2362,126,16,13360,13212,8701,101,24,8608,8508,5470,75,0,4190,4123,2662,40,0,4804,4748,2978,34,0,7594,7118,5324,223,175,5286,4905,3665,168,139,2705,2445,1816,80,131,2324,2188,1549,68,12,5031,3476,3190,502,137,3641,2316,2124,395,131,1526,992,948,193,71,1516,1057,1004,174,11,829162,817824,348123,5571,4010,533720,524120,220179,4094,3814,258186,253289,108525,2004,1730,267249,262195,117999,1991,2204
201105,595550,590666,278896,2961,1229,769154,763575,343668,3645,1614,858653,847688,378763,5496,3641,863185,849330,370722,6447,4556,24935,23738,17769,528,127,32044,30875,22572,675,184,36864,34525,25308,1037,301,37020,33934,24571,1209,616,8710,8236,6091,158,33,10829,10486,7640,234,46,11805,11167,8178,334,131,10890,9962,7331,388,280,8510,8446,6062,48,15,11595,11512,7923,53,33,13141,13013,8894,85,33,13574,13426,8857,101,24,4811,4697,3473,84,27,6090,5907,4342,120,60,7175,6882,5168,192,65,7675,7215,5395,224,175,3093,2486,2318,239,52,3675,3114,2884,269,45,4891,3605,3280,429,72,5058,3500,3214,501,137,581628,577707,266707,2593,1143,751705,746945,328374,3227,1483,837676,828472,361475,4816,3405,841301,829843,353766,5637,4028
201106,394712,386489,208789,4326,1518,387743,380683,203769,3759,1074,443708,438603,221347,2970,881,595550,590666,278896,2961,1229,18593,16196,13055,683,466,15033,13095,10896,538,226,17695,16367,12728,462,101,24935,23738,17769,528,127,7512,6741,5127,119,60,5184,4369,3527,99,37,5830,5288,4171,115,37,8710,8236,6091,158,33,5008,4883,4044,63,20,4637,4541,3870,55,17,6123,6053,4458,46,6,8510,8446,6062,48,15,3191,2946,2350,131,35,2977,2794,2199,96,30,3409,3285,2498,72,9,4811,4697,3473,84,27,3019,1760,1669,373,351,2434,1527,1437,290,142,2497,1843,1733,230,49,3093,2486,2318,239,52,383096,376943,200397,3815,1110,377533,372187,195894,3335,882,433122,429137,212502,2629,812,581628,577707,266707,2593,1143
201107,693991,673087,364008,9938,1990,529884,514755,288136,7182,1946,495043,485026,260403,5349,1883,399373,391023,210378,4382,1599,47212,43962,32351,1204,554,34414,31127,24236,1031,638,27435,24644,19363,868,631,19377,16917,13600,693,515,23209,22616,15883,278,49,16868,16247,11954,214,52,12633,11805,8691,175,62,8062,7279,5519,122,60,12053,11856,8765,117,39,7984,7821,6222,94,27,6843,6702,5494,74,35,5156,5024,4160,67,20,6870,6339,4795,279,141,4914,4498,3680,226,105,4339,4025,3203,176,70,3202,2959,2370,131,39,5255,3315,3116,537,325,4760,2665,2534,503,454,3759,2246,2127,447,464,3086,1781,1685,376,396,670432,652158,346879,9076,1570,511859,499452,275124,6439,1460,479309,471594,248931,4719,1406,387493,381275,201824,3864,1146
201108,907401,886807,446062,10408,3430,881427,858174,439505,11336,3249,822222,797079,424943,11915,2616,709593,688160,371751,10227,1993,63535,59282,41502,1603,1430,62368,58465,41138,1446,1399,58692,54967,39405,1426,768,48768,45512,33251,1229,523,31996,30638,19808,342,881,30836,29515,19716,358,814,29064,28335,19292,333,183,24043,23447,16300,284,49,14333,14036,10329,160,111,15789,15496,10931,145,108,14654,14432,10332,137,39,12388,12194,8950,116,39,10248,9648,6735,347,66,9416,8813,6229,312,95,8557,7982,5880,311,115,7147,6601,4961,286,137,7427,5338,4979,771,438,6763,4983,4608,650,448,6729,4514,4198,654,432,5399,3468,3260,550,298,876843,859874,424631,9229,2066,850745,830800,417890,10283,1917,793395,771412,404301,10874,1890,685404,666602,354168,9346,1600
201109,930309,910113,455444,9237,7398,960747,939641,461852,9340,7372,920233,901253,441332,9553,3709,907401,886807,446062,10408,3430,59025,55241,38515,1534,916,63202,58872,40310,1583,1432,62170,57849,39746,1563,1397,63535,59282,41502,1603,1430,28382,27815,17752,324,112,30717,29604,18482,291,707,31277,30033,18817,322,795,31996,30638,19808,342,881,12916,12660,9498,145,103,13670,13413,10072,151,88,13557,13228,9893,161,157,14333,14036,10329,160,111,11007,10390,7400,343,117,12072,11444,7693,379,114,10742,10130,6838,362,76,10248,9648,6735,347,66,7060,4700,4142,730,586,7076,4734,4336,768,523,7067,4842,4545,735,434,7427,5338,4979,771,438,902335,885110,435402,8169,6666,930936,913391,440999,8221,6078,891024,875671,421081,8420,2390,876843,859874,424631,9229,2066
201110,729488,711381,383664,7497,7567,792788,775392,408896,8179,6338,864758,845784,436035,8495,7793,926565,906890,452216,8970,7344,43009,38877,28988,1259,1611,46484,43059,31860,1360,812,52245,48855,35347,1410,807,57765,54140,37584,1473,890,21154,20605,13907,267,134,23187,22612,15301,293,143,24871,24368,16259,283,91,27660,27145,17197,301,107,9250,8923,7030,125,57,10093,9813,7612,144,54,11636,11361,8676,143,57,12787,12535,9395,142,103,6425,5814,4834,307,136,7196,6676,5432,287,76,9419,8822,6636,315,102,10801,10204,7234,331,111,6448,3794,3420,567,1285,6355,4292,3771,643,542,6627,4598,4030,677,559,6860,4583,4033,707,571,707793,693243,368575,6582,6040,769994,755397,392475,7178,5665,839218,822908,417415,7491,7190,899065,882233,432506,7940,6642
201111,661698,647280,349522,6343,5546,605126,589385,329521,6057,7702,660694,640715,355076,7264,9892,729488,711381,383664,7497,7567,37448,34419,25298,1157,604,34003,30742,23380,1065,1266,37833,33963,25968,1236,1510,43009,38877,28988,1259,1611,19054,18601,12248,252,63,16752,16331,11232,241,60,18400,17883,12513,274,114,21154,20605,13907,267,134,8108,7931,6202,109,60,7628,7369,5920,116,78,8054,7767,6268,129,78,9250,8923,7030,125,57,5620,4868,4045,271,295,4972,4478,3813,267,92,5656,5097,4302,303,143,6425,5814,4834,307,136,4993,3332,2970,532,186,4972,2870,2578,448,1036,5948,3432,3050,536,1176,6448,3794,3420,567,1285,642822,630758,336042,5518,5019,587916,574883,317142,5317,6509,641429,624744,341541,6384,8447,707793,693243,368575,6582,6040
